phi : 45.792674  x : 8.000000  y : 0.000000  deg : -nan
phi : 36.742800  x : 8.000000  y : 0.000000  deg : -nan
phi : 38.119690  x : 8.000000  y : 0.000000  deg : -nan
phi : 36.662847  x : 8.000000  y : 0.000000  deg : -nan
phi : 45.801541  x : 8.000000  y : 0.000000  deg : -nan
phi : 62.212367  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.681874  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.675565  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.681412  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.671140  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.639228  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.673354  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.726239  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.744429  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.707911  x : 8.000000  y : 0.000000  deg : -nan
phi : -22.925534  x : 8.000000  y : 0.000000  deg : -nan
phi : -15.535040  x : 8.000000  y : 0.000000  deg : -nan
phi : -18.978908  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.643115  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.666506  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.685639  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.709491  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.667950  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.601533  x : 8.000000  y : 0.000000  deg : -nan
phi : -11.652555  x : 8.000000  y : 0.000000  deg : -nan
phi : -14.635492  x : 8.000000  y : 0.000000  deg : -nan
phi : -22.944646  x : 8.000000  y : 0.000000  deg : -nan
phi : -24.957055  x : 8.000000  y : 0.000000  deg : -nan
phi : -28.583765  x : 8.000000  y : 0.000000  deg : -nan
phi : -24.726593  x : 8.000000  y : 0.000000  deg : -nan
phi : -11.144583  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.579250  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.668699  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.754048  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.773426  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.777012  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.739232  x : 8.000000  y : 0.000000  deg : -nan
phi : -7.379682  x : 8.000000  y : 0.000000  deg : -nan
phi : 4.157029  x : 4.025759  y : 0.697593  deg : 5.794371
phi : 2.463300  x : 3.911857  y : 0.690219  deg : 5.916877
phi : 3.938979  x : 7.593000  y : 0.000000  deg : nan
phi : 12.859829  x : 7.602000  y : 0.000000  deg : nan
phi : 8.525677  x : 8.000000  y : 0.000000  deg : -nan
phi : 86.047093  x : 8.000000  y : 0.000000  deg : -nan
phi : 80.529242  x : 8.000000  y : 0.000000  deg : -nan
phi : 9.777397  x : 4.205000  y : 0.000000  deg : 176.500000
phi : 24.454935  x : 3.983000  y : 0.000000  deg : 177.250000
phi : 26.346732  x : 3.801000  y : 0.000000  deg : 179.250000
phi : 8.537047  x : 3.938000  y : 0.000000  deg : 180.000000
phi : 82.760037  x : 6.767000  y : 0.000000  deg : 158.250000
phi : 78.294304  x : 6.750000  y : 0.000000  deg : 161.500000
phi : 2.776936  x : 6.762000  y : 0.000000  deg : 163.000000
phi : 81.800073  x : 7.453470  y : 0.022680  deg : 118.373651
phi : -12.692187  x : 7.155000  y : 0.000000  deg : 155.749999
phi : 60.268195  x : 7.402765  y : 0.057535  deg : 137.997343
phi : 84.636785  x : 4.900000  y : 0.000000  deg : 180.000000
phi : 84.651195  x : 5.101000  y : 0.000000  deg : 180.000000
phi : 84.557749  x : 5.635000  y : 0.000000  deg : 180.000000
phi : 35.562177  x : 3.973000  y : 0.000000  deg : 0.000000
phi : 6.120282  x : 7.749352  y : 0.026068  deg : 122.562388
phi : 33.712499  x : 7.496000  y : 0.000000  deg : 180.000000
phi : 0.685546  x : 7.849199  y : 0.007757  deg : 116.305523
phi : 9.870508  x : 7.882192  y : 0.006725  deg : 87.732868
