phi : 30.232304  x : 7.946087  y : 0.003068  deg : 148.743500
phi : 30.225405  x : 7.942090  y : 0.003230  deg : 149.557609
phi : 27.990622  x : 7.938085  y : 0.003236  deg : 151.757723
phi : 26.470582  x : 7.948084  y : 0.002954  deg : 148.743500
phi : 26.508904  x : 0.526022  y : 0.018311  deg : -0.140370
phi : 29.776456  x : 7.945075  y : 0.002874  deg : 151.754664
phi : 27.706736  x : 7.942081  y : 0.003071  deg : 151.464605
phi : 26.534503  x : 7.947081  y : 0.002929  deg : 149.831456
phi : 26.932619  x : 7.950080  y : 0.002832  deg : 148.753603
phi : 26.759497  x : 0.531026  y : 0.019804  deg : -0.151920
phi : 25.927480  x : 7.942086  y : 0.003158  deg : 150.628311
phi : 18.877399  x : 7.942095  y : 0.003318  deg : 149.220943
phi : 10.858470  x : 0.518027  y : 0.020264  deg : -0.155180
phi : 5.924843  x : 7.946102  y : 0.003321  deg : 146.974579
phi : 3.060927  x : 7.938088  y : 0.003303  deg : 152.196153
phi : -0.314193  x : 0.515026  y : 0.019544  deg : -0.149602
phi : -5.183713  x : 7.941097  y : 0.003389  deg : 150.206661
phi : -8.997475  x : 7.947097  y : 0.003200  deg : 149.288253
phi : -19.084954  x : 7.947112  y : 0.003436  deg : 147.782681
phi : -19.989463  x : 7.938120  y : 0.003850  deg : 150.939571
phi : -33.099998  x : 7.949226  y : 0.004793  deg : 143.107130
phi : 39.566758  x : 7.930562  y : 0.008850  deg : 144.486337
phi : 56.263523  x : 7.929036  y : 0.020978  deg : 131.031229
phi : 74.492142  x : 7.852975  y : 0.029726  deg : 145.569729
phi : 50.642787  x : 7.812310  y : 0.074675  deg : 134.804263
phi : 84.328510  x : 7.570403  y : 0.074449  deg : 0.168299
phi : -1.829336  x : 7.788918  y : 0.103293  deg : 1.175290
